name,count
very,18
even,17
then,13
here,13
usually,16
finally,25
originally,28
how,26
nyc,13
long,17
maybe,24
honestly,33
soon,29
actually,36
better,16
not,25
now,21
easily,10
always,10
instadaily,35
anytime,10
also,19
why,32
especially,11
later,14
bright,10
longer,18
getinmybelly,29
pretty,35
definitely,12
away,30
currently,12
probably,21
recently,10
quickly,11
tattoo,10
so,67
just,35
increasingly,12
right,33
home,30
super,10
there,42
instead,42
when,31
nt,43
illegally,23
ago,30
far,15
